asin,negative,neutral,positive,total_reviews
191445393X,0.0,0.0,100.0,13
8883707168,0.0,0.0,100.0,13
B00005IBX9,0.0,0.0,100.0,13
B00006IV0Q,15.4,7.7,76.9,13
B00009J580,15.4,0.0,84.6,13
B0006ZAU22,18.2,0.0,81.8,11
B000FDZJBM,7.7,0.0,92.3,13
B000GLN15O,0.0,0.0,100.0,13
B000OR2RNM,0.0,0.0,100.0,13
B000PRIPE6,0.0,7.7,92.3,13
B000RVYMWE,0.0,7.7,92.3,13
B000X1OOBW,7.7,7.7,84.6,13
B0012OGF6Q,11.1,11.1,77.8,9
B0014D8GTY,23.1,15.4,61.5,13
B0016R858U,0.0,0.0,100.0,8
B001L2MD2E,7.7,0.0,92.3,13
B001U0OWTO,9.1,18.2,72.7,11
B002FU6T8A,23.1,0.0,76.9,13
B002GHC19I,15.4,0.0,84.6,13
B002YI2IG0,23.1,0.0,76.9,13
B002YX0GAA,7.7,15.4,76.9,13
B002YX0GEQ,7.7,0.0,92.3,13
B002ZLYRNI,0.0,0.0,100.0,13
B0038WVR6I,7.7,0.0,92.3,13
B003GMP03Q,0.0,0.0,100.0,13
B003O2RXUQ,7.7,0.0,92.3,13
B003U31MXS,0.0,7.7,92.3,13
B003UHUO7O,7.7,7.7,84.6,13
B003UKM9CO,0.0,7.7,92.3,13
B003ZVXDCS,7.7,0.0,92.3,13
B00429KMH6,12.5,0.0,87.5,8
B004BXLVO6,7.7,7.7,84.6,13
B004U4UHTQ,0.0,0.0,100.0,13
B004VGIGVY,9.1,0.0,90.9,11
B006HFJA12,0.0,0.0,100.0,13
B007RWD11Y,7.7,7.7,84.6,13
B008BPI3AA,0.0,0.0,100.0,13
B008I2IKI6,0.0,7.7,92.3,13
B009NNZOEW,0.0,0.0,100.0,13
B009OGG8FW,8.3,0.0,91.7,12
B00AF7WUO2,15.4,7.7,76.9,13
B00AFWPVUC,0.0,0.0,100.0,13
B00AFWVHI2,0.0,7.7,92.3,13
B00CH9QWOU,7.7,0.0,92.3,13
B00D3OR58A,0.0,0.0,100.0,13
B00DJSRMBK,7.7,7.7,84.6,13
B00DWKEHU4,23.1,0.0,76.9,13
B00EI7DPPI,7.7,0.0,92.3,13
B00FLCQ7EU,7.7,15.4,76.9,13
B00FLYWNYQ,0.0,0.0,100.0,13
B00GHX5HGG,7.7,7.7,84.6,13
B00GIBKC3K,0.0,0.0,100.0,13
B00HVW5HP8,0.0,0.0,100.0,13
B00JUM7DNG,0.0,7.7,92.3,13
B00JUM8WDG,0.0,7.7,92.3,13
B00KBZOR9O,0.0,7.7,92.3,13
