category,negative,neutral,positive,total_reviews
DSLR camera,4.6,2.3,93.2,219
USB-C hub,5.0,1.9,93.1,261
air purifier,4.9,1.1,94.0,265
backpack,3.0,2.0,94.9,198
bluetooth speaker,2.2,2.2,95.6,229
budget laptop,12.6,4.6,82.9,175
candle,9.8,4.4,85.9,502
coffee maker,12.1,4.2,83.7,693
desk lamp LED,2.7,3.4,94.0,564
electric toothbrush,8.0,3.3,88.7,661
gaming chair,8.8,7.2,83.9,554
gaming mouse,4.6,3.3,92.1,239
instant pot,4.3,1.2,94.5,255
kitchen knife set,3.7,3.2,93.2,601
mechanical keyboard,1.9,4.3,93.7,207
monitor 27 inch,4.4,3.2,92.4,249
notebook journal,2.4,2.1,95.5,623
phone case,4.0,3.3,92.7,273
phone stand,2.7,1.4,95.9,219
portable charger,5.8,2.9,91.4,243
smartwatch,2.9,2.2,94.9,272
sneakers,3.1,6.3,90.6,714
sunglasses,4.2,6.1,89.7,575
t-shirt,4.0,6.3,89.7,697
water bottle,2.2,2.0,95.8,687
webcam HD,2.6,3.5,93.9,229
wireless earbuds,5.4,4.3,90.3,258
yamaha acoustic guitar,6.0,4.7,89.4,620
