asin,category,cluster
191445393X,yamaha acoustic guitar,0
8883707168,notebook journal,14
B00005IBX9,coffee maker,13
B00006IV0Q,coffee maker,13
B00009J580,yamaha acoustic guitar,0
B0006ZAU22,yamaha acoustic guitar,0
B000FDZJBM,candle,8
B000GLN15O,sunglasses,6
B000OR2RNM,yamaha acoustic guitar,10
B000PRIPE6,sneakers,4
B000RVYMWE,yamaha acoustic guitar,0
B000X1OOBW,sneakers,4
B0012OGF6Q,DSLR camera,19
B0014D8GTY,yamaha acoustic guitar,14
B0016R858U,candle,8
B001L2MD2E,candle,8
B001U0OWTO,yamaha acoustic guitar,0
B002FU6T8A,sunglasses,6
B002GHC19I,t-shirt,2
B002YI2IG0,coffee maker,13
B002YX0GAA,candle,8
B002YX0GEQ,candle,8
B002ZLYRNI,sunglasses,6
B0038WVR6I,candle,8
B003GMP03Q,yamaha acoustic guitar,10
B003O2RXUQ,notebook journal,14
B003U31MXS,candle,8
B003UHUO7O,sneakers,4
B003UKM9CO,electric toothbrush,10
B003ZVXDCS,candle,8
B00429KMH6,candle,8
B004BXLVO6,yamaha acoustic guitar,0
B004U4UHTQ,DSLR camera,19
B004VGIGVY,air purifier,9
B006HFJA12,backpack,15
B007RWD11Y,kitchen knife set,7
B008BPI3AA,yamaha acoustic guitar,22
B008I2IKI6,electric toothbrush,10
B009NNZOEW,yamaha acoustic guitar,0
B009OGG8FW,sunglasses,6
B00AF7WUO2,coffee maker,13
B00AFWPVUC,electric toothbrush,9
B00AFWVHI2,electric toothbrush,10
B00CH9QWOU,coffee maker,13
B00D3OR58A,notebook journal,14
B00DJSRMBK,sneakers,4
B00DWKEHU4,coffee maker,13
B00EI7DPPI,coffee maker,13
B00FLCQ7EU,sneakers,4
B00FLYWNYQ,instant pot,1
B00GHX5HGG,kitchen knife set,7
B00GIBKC3K,kitchen knife set,7
B00HVW5HP8,t-shirt,18
B00JUM7DNG,t-shirt,18
B00JUM8WDG,t-shirt,18
B00KBZOR9O,t-shirt,18
B00KSQ8ZNA,desk lamp LED,5
B00LSRU2JS,t-shirt,18
B00LZSJ642,water bottle,9
B00LZSR3KQ,water bottle,9
B00MVWGQX0,coffee maker,13
B00N4ZHPZ6,yamaha acoustic guitar,0
B00P9U2EM8,notebook journal,14
B00R3Z49G6,kitchen knife set,7
B00UC8FMYO,candle,8
B00VTV7O2Q,t-shirt,18
B00W80Z87K,t-shirt,18
B00X7X2KIC,notebook journal,14
B0101RW3QK,DSLR camera,19
B011HMDZ0Q,gaming mouse,17
B011QQE1HE,t-shirt,18
B011WTM622,coffee maker,13
B011WTWIPW,coffee maker,13
B014GNJS22,sneakers,4
B01728NLRG,air purifier,21
B018UQ5AMS,coffee maker,13
B01ACCIEXA,t-shirt,2
B01AKGRTUM,electric toothbrush,10
B01ALYD1WI,kitchen knife set,7
B01B3GARVG,kitchen knife set,7
B01BHL3DCC,notebook journal,14
B01BU1S5HC,sunglasses,6
B01DN8TCEU,notebook journal,14
B01GJOMWVA,coffee maker,13
B01K6PAZ1M,phone case,9
B01KNM3HG8,t-shirt,2
B01LXCDPPK,webcam HD,16
B01LYQK0YX,sunglasses,6
B01LZSLIE2,sunglasses,6
B01M7TTA2S,candle,8
B01N0RSC4K,candle,8
B01N6T5QNO,coffee maker,13
B01NBKTPTS,instant pot,1
B06XW1JQ1L,sneakers,4
B06XXR7DCB,candle,8
B06Y1YD5W7,instant pot,1
B06Y5RTN1T,DSLR camera,19
B06Y5ZCFHX,DSLR camera,19
B071DVQLT2,t-shirt,2
B071NRXVBP,notebook journal,14
B071VJPRD4,notebook journal,14
B072HPWW1X,water bottle,9
B072V8Y2C8,t-shirt,18
B0731NLT2S,notebook journal,14
B073K417VQ,sneakers,4
B0744DM3Y3,phone stand,23
B074XY7MTG,t-shirt,18
B075DVZBGV,candle,8
B075F394ZS,candle,8
B07611Y7N7,t-shirt,2
B07611ZQF1,t-shirt,18
B0763Q7K2W,kitchen knife set,7
B0767PWDQ4,t-shirt,18
B0768349VX,t-shirt,2
B07684BPLB,coffee maker,13
B0769KCQCB,sunglasses,6
B0778XY3DT,sneakers,4
B077Z6Y9QF,sunglasses,6
B077ZF7B7R,sneakers,4
B077ZNKJ3Z,sneakers,4
B0785VXRX2,t-shirt,2
B0787P86ZZ,t-shirt,18
B078BF27BF,electric toothbrush,10
B078NN17K3,coffee maker,13
B078WMLXXG,coffee maker,13
B07982DFFD,candle,8
B0799C1ZCG,t-shirt,18
B079CPJHJV,candle,8
B079FRVSPH,yamaha acoustic guitar,0
B079K963KG,backpack,15
B07B3VQ8DY,sneakers,4
B07B422G13,sneakers,4
B07B45D8WV,DSLR camera,19
B07BK5P5ST,phone stand,16
B07BKLXNC7,sneakers,4
B07C2Z21X5,DSLR camera,19
B07CPW148Z,backpack,15
B07DMMG7QY,bluetooth speaker,16
B07DNR6TKM,electric toothbrush,10
B07DPLQMF9,notebook journal,14
B07F2YJRN2,backpack,15
B07F8S18D5,phone stand,16
B07FBC8P59,notebook journal,14
B07FYQP9ML,yamaha acoustic guitar,0
B07GKQKW7W,sunglasses,6
B07HRHBLJ4,t-shirt,2
B07J2NRG93,sunglasses,6
B07JCJMPVM,t-shirt,18
B07JCS8NRC,t-shirt,18
B07JR7Y8YD,yamaha acoustic guitar,0
B07K7J4CMY,yamaha acoustic guitar,0
B07K986YLL,webcam HD,16
B07KVRRFKF,gaming chair,12
B07L4JCG7T,notebook journal,14
B07L5P2J8D,electric toothbrush,10
B07M6Y7355,webcam HD,16
B07M989JLF,t-shirt,18
B07MN6G81X,t-shirt,2
B07MP3JFVW,sunglasses,6
B07MRD7118,sunglasses,6
B07MW4R1X3,sunglasses,6
B07N2F3JXP,water bottle,9
B07NHW8Z3N,t-shirt,2
B07PBS21V8,wireless earbuds,22
B07PCSKGP7,DSLR camera,19
B07PD2V88P,t-shirt,2
B07PF6ZVMZ,sunglasses,6
B07RZVN1G6,candle,8
B07S98411N,coffee maker,13
