query_asin,query_title,category,result_asin,result_title,relevant
B07C2Z21X5,Canon EOS Rebel T7 DSLR Camera EF-S 18-55mm f/3.5-5.6 is II ,DSLR camera,B0101RW3QK,Canon EOS Rebel T7 DSLR Camera Double Zoom Lens Kit with EF-,1
B07C2Z21X5,Canon EOS Rebel T7 DSLR Camera EF-S 18-55mm f/3.5-5.6 is II ,DSLR camera,B07PCSKGP7,Canon EOS Rebel T7 DSLR Camera with EF-S 18-55mm F3.5-5.6 is,1
B07C2Z21X5,Canon EOS Rebel T7 DSLR Camera EF-S 18-55mm f/3.5-5.6 is II ,DSLR camera,B0C5PGRP7V,Canon EOS R100 Mirrorless Camera RF-S18-45mm F4.5-6.3 is STM,1
B07C2Z21X5,Canon EOS Rebel T7 DSLR Camera EF-S 18-55mm f/3.5-5.6 is II ,DSLR camera,B0BTTV6CT1,Canon EOS R50 Mirrorless Camera RF-S18-45mm F4.5-6.3 is STM ,1
B07C2Z21X5,Canon EOS Rebel T7 DSLR Camera EF-S 18-55mm f/3.5-5.6 is II ,DSLR camera,B086TTTZR5,Canon EOS RP Full-Frame Mirrorless Interchangeable Lens Came,0
B0DT6Z3R4F,"Powered USB Hub 10Gbps, intpw 9-Port USB 3.2 Hub, USB C Hub ",USB-C hub,B0G13RQ2SZ,ACASIS 16 Ports Powered USB 3.2 Hub (8 USB-A 3.2 +8 USB-C 3.,1
B0DT6Z3R4F,"Powered USB Hub 10Gbps, intpw 9-Port USB 3.2 Hub, USB C Hub ",USB-C hub,B0GLJ4P85L,"VANGREE Powered USB Hub,16 Ports 10Gbps USB C Hub, 8*USB-A 3",1
B0DT6Z3R4F,"Powered USB Hub 10Gbps, intpw 9-Port USB 3.2 Hub, USB C Hub ",USB-C hub,B0G11F8FHR,Rosonway 7 Ports Powered USB 3.2/USB C Hub 10Gbps with 4 USB,1
B0DT6Z3R4F,"Powered USB Hub 10Gbps, intpw 9-Port USB 3.2 Hub, USB C Hub ",USB-C hub,B0BL9F5S6R,"VANGREE USB C Hub 8 in 1, 3 USB-C+3 USB-A 3.2 10Gbps, 4K60Hz",1
B0DT6Z3R4F,"Powered USB Hub 10Gbps, intpw 9-Port USB 3.2 Hub, USB C Hub ",USB-C hub,B0F5HSNDXF,"Acer 10 Gbps USB C Hub, USBC Splitter with 4*USB C 3.2 and 1",1
B0DT6Z3R4F,"Powered USB Hub 10Gbps, intpw 9-Port USB 3.2 Hub, USB C Hub ",USB-C hub,B0DKT8BB4M,"Anker USB-C Hub, 5-in-1 USB Hub for Laptops, 4K HDMI Multipo",0
